+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
| ID  |    CODE    |                               NAME                               |                  COURSE                   | SEMESTER |
| 335 | 24MJBCA1L1 | Problem Solving Techniques                                       | BCA - Bachelor of Computer Applications   | 1        |
| 337 | 24MJBCA1L2 | Computer Architecture                                            | BCA - Bachelor of Computer Applications   | 1        |
| 336 | 24MJBCA1P1 | Problem Solving Techniques Lab                                   | BCA - Bachelor of Computer Applications   | 1        |
| 338 | 24MJBCA1P2 | Computer Architecture Lab                                        | BCA - Bachelor of Computer Applications   | 1        |
| 343 | 24BSLGEN3L | Basic English                                                    | BCA - Bachelor of Computer Applications   | 3        |
| 350 | 24BSLGHN3L | Hindi                                                            | BCA - Bachelor of Computer Applications   | 3        |
| 351 | 24BSLGKA3L | ವಿಜ್ಞಾನ ಸೌರಭ - 2 (Kannada)                                       | BCA - Bachelor of Computer Applications   | 3        |
| 344 | 24MJBCA3L1 | Java Programming                                                 | BCA - Bachelor of Computer Applications   | 3        |
| 346 | 24MJBCA3L2 | Database Management System                                       | BCA - Bachelor of Computer Applications   | 3        |
| 348 | 24MJBCA3L3 | Web Design                                                       | BCA - Bachelor of Computer Applications   | 3        |
| 345 | 24MJBCA3P1 | Java Programming Lab                                             | BCA - Bachelor of Computer Applications   | 3        |
| 347 | 24MJBCA3P2 | Database Management System Lab                                   | BCA - Bachelor of Computer Applications   | 3        |
| 349 | 24MJBCA3P3 | Web Design Lab                                                   | BCA - Bachelor of Computer Applications   | 3        |
| 435 | 24BSLGEN5L | Basic English                                                    | BCA - Bachelor of Computer Applications   | 5        |
| 437 | 24BSLGHN5L | Hindi                                                            | BCA - Bachelor of Computer Applications   | 5        |
| 438 | 24BSLGKA5L | ವಿಜ್ಞಾನ ಸೌರಭ - 3 (Kannada)                                       | BCA - Bachelor of Computer Applications   | 5        |
| 436 | 24CVCOMM5L | Constitutional Values                                            | BCA - Bachelor of Computer Applications   | 5        |
| 439 | 24MJBCA5L1 | Web Development                                                  | BCA - Bachelor of Computer Applications   | 5        |
| 441 | 24MJBCA5L2 | Software Engineering                                             | BCA - Bachelor of Computer Applications   | 5        |
| 442 | 24MJBCA5L3 | Data Structures and Algorithms                                   | BCA - Bachelor of Computer Applications   | 5        |
| 440 | 24MJBCA5P1 | Web Development Lab                                              | BCA - Bachelor of Computer Applications   | 5        |
